案件ID,行程,メンバー,所属,チーム,月,時間
PJ-2019-A,企画立案,EMP-A0007,自社,企画部,2019-05,99.3
PJ-2019-A,企画立案,EMP-A0008,自社,企画部,2019-05,60.1
PJ-2019-A,市場調査,EMP-A0002,自社,企画部,2019-05,79.9
PJ-2019-A,市場調査,EMP-A0004,自社,企画部,2019-05,82.4
PJ-2019-A,市場調査,EMP-A0005,自社,企画部,2019-05,61.3
PJ-2019-A,市場調査,EMP-A0006,自社,企画部,2019-05,152.3
PJ-2019-A,市場調査,EMP-A0008,自社,企画部,2019-05,171.8
PJ-2019-A,最適化,EMP-A0029,自社,第1開発部,2019-05,48.4
PJ-2019-A,移植対応,EMP-A0032,自社,第1開発部,2019-05,32.4
PJ-2019-A,背景モデリング,EMP-A0063,自社,アート部,2019-05,31.9
PJ-2019-A,進行管理,EMP-A0127,自社,PMO,2019-05,116.5
PJ-2019-A,2Dイラスト,EMP-A0066,自社,アート部,2019-06,51.9
PJ-2019-A,UI/UX設計,EMP-A0009,自社,ゲームデザイン部,2019-06,91.5
PJ-2019-A,UI/UX設計,EMP-A0017,自社,ゲームデザイン部,2019-06,159.6
PJ-2019-A,UIアート,PTC-A0084,協力会社C,2Dアートチーム,2019-06,51.5
PJ-2019-A,アニメーション,EMP-A0065,自社,アート部,2019-06,85.5
PJ-2019-A,エフェクト,PTC-A0091,協力会社C,2Dアートチーム,2019-06,59.7
PJ-2019-A,エンジン開発,EMP-A0026,自社,第1開発部,2019-06,105.3
PJ-2019-A,キャラクターモデリング,EMP-A0062,自社,アート部,2019-06,111.2
PJ-2019-A,クライアント実装,EMP-A0031,自社,第1開発部,2019-06,136.7
PJ-2019-A,クライアント実装,PTA-A0048,協力会社A,開発支援チーム,2019-06,116.2
PJ-2019-A,ゲームバランス調整,EMP-A0010,自社,ゲームデザイン部,2019-06,75.9
PJ-2019-A,ゲームバランス調整,EMP-A0016,自社,ゲームデザイン部,2019-06,134.5
PJ-2019-A,ゲームバランス調整,EMP-A0019,自社,ゲームデザイン部,2019-06,65.0
PJ-2019-A,サーバ実装,EMP-A0027,自社,第1開発部,2019-06,115.0
PJ-2019-A,シナリオ執筆,EMP-A0014,自社,ゲームデザイン部,2019-06,197.2
PJ-2019-A,シナリオ執筆,EMP-A0017,自社,ゲームデザイン部,2019-06,58.1
PJ-2019-A,シナリオ執筆,PTA-A0020,協力会社A,GDチーム,2019-06,34.0
PJ-2019-A,ツール開発,PTA-A0044,協力会社A,開発支援チーム,2019-06,87.7
PJ-2019-A,バトルデザイン,EMP-A0011,自社,ゲームデザイン部,2019-06,29.7
PJ-2019-A,バトルデザイン,EMP-A0014,自社,ゲームデザイン部,2019-06,237.5
PJ-2019-A,バトルデザイン,EMP-A0018,自社,ゲームデザイン部,2019-06,114.8
PJ-2019-A,プロジェクト管理,EMP-A0127,自社,PMO,2019-06,100.4
PJ-2019-A,プロジェクト管理,EMP-A0128,自社,PMO,2019-06,130.5
PJ-2019-A,プロジェクト管理,EMP-A0131,自社,PMO,2019-06,90.0
PJ-2019-A,プロトタイプ制作,EMP-A0001,自社,企画部,2019-06,152.9
PJ-2019-A,プロトタイプ制作,EMP-A0002,自社,企画部,2019-06,362.9
PJ-2019-A,プロトタイプ制作,EMP-A0003,自社,企画部,2019-06,81.3
PJ-2019-A,プロトタイプ制作,EMP-A0004,自社,企画部,2019-06,181.4
PJ-2019-A,プロトタイプ制作,EMP-A0005,自社,企画部,2019-06,361.4
PJ-2019-A,プロトタイプ制作,EMP-A0006,自社,企画部,2019-06,175.6
PJ-2019-A,プロトタイプ制作,EMP-A0007,自社,企画部,2019-06,75.7
PJ-2019-A,プロトタイプ制作,EMP-A0008,自社,企画部,2019-06,132.1
PJ-2019-A,レベルデザイン,EMP-A0013,自社,ゲームデザイン部,2019-06,99.8
PJ-2019-A,レベルデザイン,EMP-A0015,自社,ゲームデザイン部,2019-06,168.0
PJ-2019-A,レベルデザイン,EMP-A0016,自社,ゲームデザイン部,2019-06,102.0
PJ-2019-A,レベルデザイン,EMP-A0018,自社,ゲームデザイン部,2019-06,76.4
PJ-2019-A,企画書作成,EMP-A0002,自社,企画部,2019-06,155.2
PJ-2019-A,企画書作成,EMP-A0003,自社,企画部,2019-06,108.8
PJ-2019-A,企画書作成,EMP-A0004,自社,企画部,2019-06,58.1
PJ-2019-A,企画書作成,EMP-A0007,自社,企画部,2019-06,131.9
PJ-2019-A,企画書作成,EMP-A0008,自社,企画部,2019-06,64.0
PJ-2019-A,企画立案,EMP-A0001,自社,企画部,2019-06,160.8
PJ-2019-A,企画立案,EMP-A0002,自社,企画部,2019-06,50.2
PJ-2019-A,企画立案,EMP-A0003,自社,企画部,2019-06,64.8
PJ-2019-A,企画立案,EMP-A0004,自社,企画部,2019-06,210.8
PJ-2019-A,企画立案,EMP-A0005,自社,企画部,2019-06,193.1
PJ-2019-A,企画立案,EMP-A0006,自社,企画部,2019-06,201.2
PJ-2019-A,企画立案,EMP-A0007,自社,企画部,2019-06,90.1
PJ-2019-A,企画立案,EMP-A0008,自社,企画部,2019-06,126.2
PJ-2019-A,市場調査,EMP-A0001,自社,企画部,2019-06,264.0
PJ-2019-A,市場調査,EMP-A0004,自社,企画部,2019-06,98.0
PJ-2019-A,市場調査,EMP-A0006,自社,企画部,2019-06,92.4
PJ-2019-A,市場調査,EMP-A0008,自社,企画部,2019-06,22.6
PJ-2019-A,最適化,EMP-A0035,自社,第1開発部,2019-06,105.8
PJ-2019-A,移植対応,EMP-A0026,自社,第1開発部,2019-06,62.3
PJ-2019-A,背景モデリング,PTB-A0073,協力会社B,3DCGチーム,2019-06,111.5
PJ-2019-A,進行管理,EMP-A0127,自社,PMO,2019-06,148.7
PJ-2019-A,2Dイラスト,EMP-A0054,自社,アート部,2019-07,96.8
PJ-2019-A,BGM制作,EMP-A0094,自社,サウンド部,2019-07,9.0
PJ-2019-A,SE制作,EMP-A0095,自社,サウンド部,2019-07,7.3
PJ-2019-A,UI/UX設計,EMP-A0012,自社,ゲームデザイン部,2019-07,141.2
PJ-2019-A,UI/UX設計,EMP-A0014,自社,ゲームデザイン部,2019-07,127.7
PJ-2019-A,UI/UX設計,EMP-A0017,自社,ゲームデザイン部,2019-07,49.0
PJ-2019-A,UIアート,EMP-A0065,自社,アート部,2019-07,100.2
PJ-2019-A,アニメーション,PTB-A0080,協力会社B,3DCGチーム,2019-07,129.1
PJ-2019-A,エフェクト,PTB-A0082,協力会社B,3DCGチーム,2019-07,88.6
PJ-2019-A,エンジン開発,EMP-A0029,自社,第1開発部,2019-07,140.5
PJ-2019-A,キャラクターモデリング,EMP-A0055,自社,アート部,2019-07,10.5
PJ-2019-A,キャラクターモデリング,EMP-A0068,自社,アート部,2019-07,166.9
PJ-2019-A,クライアント実装,EMP-A0031,自社,第1開発部,2019-07,116.4
PJ-2019-A,クライアント実装,EMP-A0036,自社,第1開発部,2019-07,110.4
PJ-2019-A,クライアント実装,PTA-A0048,協力会社A,開発支援チーム,2019-07,145.3
PJ-2019-A,ゲームバランス調整,EMP-A0009,自社,ゲームデザイン部,2019-07,87.6
PJ-2019-A,ゲームバランス調整,EMP-A0010,自社,ゲームデザイン部,2019-07,162.8
PJ-2019-A,ゲームバランス調整,EMP-A0011,自社,ゲームデザイン部,2019-07,73.0
PJ-2019-A,サーバ実装,EMP-A0025,自社,第1開発部,2019-07,97.6
PJ-2019-A,サーバ実装,EMP-A0028,自社,第1開発部,2019-07,83.4
PJ-2019-A,シナリオ執筆,EMP-A0013,自社,ゲームデザイン部,2019-07,77.6
PJ-2019-A,シナリオ執筆,EMP-A0018,自社,ゲームデザイン部,2019-07,120.6
PJ-2019-A,シナリオ執筆,EMP-A0019,自社,ゲームデザイン部,2019-07,170.5
PJ-2019-A,シナリオ執筆,PTA-A0020,協力会社A,GDチーム,2019-07,52.4
PJ-2019-A,ツール開発,EMP-A0030,自社,第1開発部,2019-07,121.4
PJ-2019-A,バトルデザイン,EMP-A0011,自社,ゲームデザイン部,2019-07,128.3
PJ-2019-A,バトルデザイン,EMP-A0014,自社,ゲームデザイン部,2019-07,116.1
PJ-2019-A,バトルデザイン,EMP-A0016,自社,ゲームデザイン部,2019-07,91.9
PJ-2019-A,バトルデザイン,PTA-A0021,協力会社A,GDチーム,2019-07,99.6
PJ-2019-A,プロジェクト管理,EMP-A0129,自社,PMO,2019-07,70.2
PJ-2019-A,プロジェクト管理,EMP-A0130,自社,PMO,2019-07,127.2
PJ-2019-A,プロジェクト管理,EMP-A0131,自社,PMO,2019-07,100.2
PJ-2019-A,プロジェクト管理,EMP-A0132,自社,PMO,2019-07,155.0
PJ-2019-A,プロトタイプ制作,EMP-A0001,自社,企画部,2019-07,127.8
PJ-2019-A,プロトタイプ制作,EMP-A0002,自社,企画部,2019-07,452.5
PJ-2019-A,プロトタイプ制作,EMP-A0003,自社,企画部,2019-07,196.3
PJ-2019-A,プロトタイプ制作,EMP-A0004,自社,企画部,2019-07,130.6
PJ-2019-A,プロトタイプ制作,EMP-A0005,自社,企画部,2019-07,164.9
PJ-2019-A,プロトタイプ制作,EMP-A0006,自社,企画部,2019-07,87.9
PJ-2019-A,プロトタイプ制作,EMP-A0007,自社,企画部,2019-07,209.7
PJ-2019-A,プロトタイプ制作,EMP-A0008,自社,企画部,2019-07,159.2
PJ-2019-A,レベルデザイン,EMP-A0010,自社,ゲームデザイン部,2019-07,58.4
PJ-2019-A,レベルデザイン,EMP-A0011,自社,ゲームデザイン部,2019-07,141.3
PJ-2019-A,レベルデザイン,EMP-A0012,自社,ゲームデザイン部,2019-07,170.9
PJ-2019-A,レベルデザイン,EMP-A0015,自社,ゲームデザイン部,2019-07,60.6
PJ-2019-A,レベルデザイン,EMP-A0016,自社,ゲームデザイン部,2019-07,143.8
PJ-2019-A,企画書作成,EMP-A0002,自社,企画部,2019-07,50.9
PJ-2019-A,企画書作成,EMP-A0004,自社,企画部,2019-07,62.6
PJ-2019-A,企画書作成,EMP-A0007,自社,企画部,2019-07,224.8
PJ-2019-A,企画書作成,EMP-A0008,自社,企画部,2019-07,111.2
PJ-2019-A,企画立案,EMP-A0001,自社,企画部,2019-07,93.4
PJ-2019-A,企画立案,EMP-A0002,自社,企画部,2019-07,138.9
PJ-2019-A,企画立案,EMP-A0003,自社,企画部,2019-07,110.0
PJ-2019-A,企画立案,EMP-A0004,自社,企画部,2019-07,97.6
PJ-2019-A,企画立案,EMP-A0005,自社,企画部,2019-07,118.2
PJ-2019-A,企画立案,EMP-A0006,自社,企画部,2019-07,140.2
PJ-2019-A,企画立案,EMP-A0007,自社,企画部,2019-07,230.5
PJ-2019-A,企画立案,EMP-A0008,自社,企画部,2019-07,71.7
PJ-2019-A,市場調査,EMP-A0001,自社,企画部,2019-07,83.8
PJ-2019-A,市場調査,EMP-A0002,自社,企画部,2019-07,168.9
PJ-2019-A,市場調査,EMP-A0005,自社,企画部,2019-07,113.8
PJ-2019-A,市場調査,EMP-A0007,自社,企画部,2019-07,50.7
PJ-2019-A,市場調査,EMP-A0008,自社,企画部,2019-07,155.9
PJ-2019-A,最適化,PTA-A0048,協力会社A,開発支援チーム,2019-07,162.0
PJ-2019-A,移植対応,EMP-A0041,自社,第2開発部,2019-07,103.1
PJ-2019-A,背景モデリング,EMP-A0055,自社,アート部,2019-07,94.1
PJ-2019-A,背景モデリング,PTB-A0073,協力会社B,3DCGチーム,2019-07,97.3
PJ-2019-A,進行管理,EMP-A0128,自社,PMO,2019-07,157.1
PJ-2019-A,進行管理,EMP-A0130,自社,PMO,2019-07,82.3
PJ-2019-A,2Dイラスト,EMP-A0062,自社,アート部,2019-08,154.4
PJ-2019-A,BGM制作,PTC-A0100,協力会社C,サウンドチーム,2019-08,18.1
PJ-2019-A,SE制作,EMP-A0095,自社,サウンド部,2019-08,14.2
PJ-2019-A,UI/UX設計,EMP-A0012,自社,ゲームデザイン部,2019-08,142.8
PJ-2019-A,UI/UX設計,EMP-A0015,自社,ゲームデザイン部,2019-08,136.0
PJ-2019-A,UI/UX設計,PTA-A0022,協力会社A,GDチーム,2019-08,102.7
PJ-2019-A,UIアート,PTB-A0077,協力会社B,3DCGチーム,2019-08,133.0
PJ-2019-A,アニメーション,PTB-A0075,協力会社B,3DCGチーム,2019-08,153.8
PJ-2019-A,アニメーション,PTB-A0081,協力会社B,3DCGチーム,2019-08,89.8
PJ-2019-A,エフェクト,PTB-A0070,協力会社B,3DCGチーム,2019-08,89.3
PJ-2019-A,エフェクト,PTB-A0072,協力会社B,3DCGチーム,2019-08,80.6
PJ-2019-A,エンジン開発,EMP-A0032,自社,第1開発部,2019-08,69.8
PJ-2019-A,エンジン開発,EMP-A0033,自社,第1開発部,2019-08,158.0
PJ-2019-A,キャラクターモデリング,EMP-A0054,自社,アート部,2019-08,162.2
PJ-2019-A,キャラクターモデリング,PTB-A0070,協力会社B,3DCGチーム,2019-08,117.5
PJ-2019-A,キャラクターモデリング,PTB-A0071,協力会社B,3DCGチーム,2019-08,48.2
PJ-2019-A,クライアント実装,EMP-A0024,自社,第1開発部,2019-08,175.8
PJ-2019-A,クライアント実装,EMP-A0028,自社,第1開発部,2019-08,121.1
PJ-2019-A,クライアント実装,EMP-A0033,自社,第1開発部,2019-08,93.9
PJ-2019-A,クライアント実装,EMP-A0034,自社,第1開発部,2019-08,92.3
PJ-2019-A,ゲームバランス調整,EMP-A0009,自社,ゲームデザイン部,2019-08,222.2
PJ-2019-A,ゲームバランス調整,EMP-A0011,自社,ゲームデザイン部,2019-08,73.5
PJ-2019-A,ゲームバランス調整,EMP-A0013,自社,ゲームデザイン部,2019-08,68.1
PJ-2019-A,サーバ実装,EMP-A0027,自社,第1開発部,2019-08,87.1
PJ-2019-A,サーバ実装,EMP-A0032,自社,第1開発部,2019-08,144.6
PJ-2019-A,シナリオ執筆,EMP-A0014,自社,ゲームデザイン部,2019-08,147.1
PJ-2019-A,シナリオ執筆,EMP-A0015,自社,ゲームデザイン部,2019-08,111.5
PJ-2019-A,シナリオ執筆,EMP-A0019,自社,ゲームデザイン部,2019-08,85.2
PJ-2019-A,シナリオ執筆,PTA-A0022,協力会社A,GDチーム,2019-08,96.2
PJ-2019-A,ツール開発,EMP-A0027,自社,第1開発部,2019-08,113.6
PJ-2019-A,ツール開発,EMP-A0036,自社,第1開発部,2019-08,69.5
PJ-2019-A,バトルデザイン,EMP-A0009,自社,ゲームデザイン部,2019-08,37.7
PJ-2019-A,バトルデザイン,EMP-A0011,自社,ゲームデザイン部,2019-08,105.6
PJ-2019-A,バトルデザイン,EMP-A0012,自社,ゲームデザイン部,2019-08,76.2
PJ-2019-A,バトルデザイン,EMP-A0014,自社,ゲームデザイン部,2019-08,80.3
PJ-2019-A,バトルデザイン,EMP-A0016,自社,ゲームデザイン部,2019-08,149.3
PJ-2019-A,バトルデザイン,EMP-A0019,自社,ゲームデザイン部,2019-08,208.3
PJ-2019-A,プロジェクト管理,EMP-A0128,自社,PMO,2019-08,74.0
PJ-2019-A,プロジェクト管理,EMP-A0129,自社,PMO,2019-08,192.9
PJ-2019-A,プロジェクト管理,EMP-A0130,自社,PMO,2019-08,102.2
PJ-2019-A,プロジェクト管理,EMP-A0132,自社,PMO,2019-08,83.2
PJ-2019-A,プロトタイプ制作,EMP-A0001,自社,企画部,2019-08,85.5
PJ-2019-A,プロトタイプ制作,EMP-A0002,自社,企画部,2019-08,135.3
PJ-2019-A,プロトタイプ制作,EMP-A0003,自社,企画部,2019-08,208.2
PJ-2019-A,プロトタイプ制作,EMP-A0004,自社,企画部,2019-08,94.9
PJ-2019-A,プロトタイプ制作,EMP-A0005,自社,企画部,2019-08,176.7
PJ-2019-A,プロトタイプ制作,EMP-A0006,自社,企画部,2019-08,94.4
PJ-2019-A,プロトタイプ制作,EMP-A0007,自社,企画部,2019-08,202.6
PJ-2019-A,プロトタイプ制作,EMP-A0008,自社,企画部,2019-08,95.9
PJ-2019-A,ボイス収録,EMP-A0093,自社,サウンド部,2019-08,8.5
PJ-2019-A,レベルデザイン,EMP-A0011,自社,ゲームデザイン部,2019-08,110.2
PJ-2019-A,レベルデザイン,EMP-A0012,自社,ゲームデザイン部,2019-08,133.4
PJ-2019-A,レベルデザイン,EMP-A0013,自社,ゲームデザイン部,2019-08,67.7
PJ-2019-A,レベルデザイン,EMP-A0016,自社,ゲームデザイン部,2019-08,132.6
PJ-2019-A,レベルデザイン,EMP-A0017,自社,ゲームデザイン部,2019-08,140.5
PJ-2019-A,レベルデザイン,EMP-A0018,自社,ゲームデザイン部,2019-08,82.8
PJ-2019-A,企画書作成,EMP-A0002,自社,企画部,2019-08,154.0
PJ-2019-A,企画書作成,EMP-A0004,自社,企画部,2019-08,103.7
PJ-2019-A,企画書作成,EMP-A0006,自社,企画部,2019-08,123.1
PJ-2019-A,企画書作成,EMP-A0007,自社,企画部,2019-08,80.4
PJ-2019-A,企画書作成,EMP-A0008,自社,企画部,2019-08,62.8
PJ-2019-A,企画立案,EMP-A0001,自社,企画部,2019-08,241.1
PJ-2019-A,企画立案,EMP-A0002,自社,企画部,2019-08,170.5
PJ-2019-A,企画立案,EMP-A0003,自社,企画部,2019-08,198.9
PJ-2019-A,企画立案,EMP-A0004,自社,企画部,2019-08,66.1
PJ-2019-A,企画立案,EMP-A0005,自社,企画部,2019-08,70.4
PJ-2019-A,企画立案,EMP-A0006,自社,企画部,2019-08,74.9
PJ-2019-A,企画立案,EMP-A0007,自社,企画部,2019-08,91.7
PJ-2019-A,企画立案,EMP-A0008,自社,企画部,2019-08,89.7
PJ-2019-A,市場調査,EMP-A0002,自社,企画部,2019-08,52.5
PJ-2019-A,市場調査,EMP-A0005,自社,企画部,2019-08,70.7
PJ-2019-A,市場調査,EMP-A0007,自社,企画部,2019-08,105.0
PJ-2019-A,市場調査,EMP-A0008,自社,企画部,2019-08,177.4
PJ-2019-A,最適化,EMP-A0035,自社,第1開発部,2019-08,103.7
PJ-2019-A,最適化,PTB-A0052,協力会社B,エンジニアリングチーム,2019-08,93.5
PJ-2019-A,移植対応,EMP-A0040,自社,第2開発部,2019-08,156.1
PJ-2019-A,背景モデリング,EMP-A0062,自社,アート部,2019-08,119.2
PJ-2019-A,背景モデリング,EMP-A0065,自社,アート部,2019-08,102.0
PJ-2019-A,背景モデリング,PTB-A0072,協力会社B,3DCGチーム,2019-08,96.8
PJ-2019-A,進行管理,EMP-A0127,自社,PMO,2019-08,145.5
PJ-2019-A,進行管理,EMP-A0131,自社,PMO,2019-08,126.7
PJ-2019-A,2Dイラスト,EMP-A0056,自社,アート部,2019-09,156.4
PJ-2019-A,2Dイラスト,EMP-A0062,自社,アート部,2019-09,67.8
PJ-2019-A,BGM制作,PTC-A0100,協力会社C,サウンドチーム,2019-09,31.1
PJ-2019-A,SE制作,EMP-A0097,自社,サウンド部,2019-09,25.6
PJ-2019-A,UI/UX設計,EMP-A0011,自社,ゲームデザイン部,2019-09,60.3
PJ-2019-A,UI/UX設計,EMP-A0014,自社,ゲームデザイン部,2019-09,230.7
PJ-2019-A,UI/UX設計,EMP-A0016,自社,ゲームデザイン部,2019-09,72.0
PJ-2019-A,UIアート,EMP-A0059,自社,アート部,2019-09,130.8
PJ-2019-A,UIアート,PTB-A0070,協力会社B,3DCGチーム,2019-09,139.1
PJ-2019-A,アニメーション,EMP-A0059,自社,アート部,2019-09,143.1
PJ-2019-A,アニメーション,PTB-A0069,協力会社B,3DCGチーム,2019-09,99.7
PJ-2019-A,アニメーション,PTC-A0088,協力会社C,2Dアートチーム,2019-09,76.4
PJ-2019-A,エフェクト,EMP-A0066,自社,アート部,2019-09,99.9
PJ-2019-A,エフェクト,PTC-A0092,協力会社C,2Dアートチーム,2019-09,130.7
PJ-2019-A,エンジン開発,EMP-A0023,自社,第1開発部,2019-09,79.0
PJ-2019-A,エンジン開発,PTA-A0043,協力会社A,開発支援チーム,2019-09,167.5
PJ-2019-A,キャラクターモデリング,EMP-A0058,自社,アート部,2019-09,226.0
PJ-2019-A,キャラクターモデリング,PTB-A0074,協力会社B,3DCGチーム,2019-09,64.8
PJ-2019-A,キャラクターモデリング,PTC-A0083,協力会社C,2Dアートチーム,2019-09,47.0
PJ-2019-A,キャラクターモデリング,PTC-A0087,協力会社C,2Dアートチーム,2019-09,36.0
PJ-2019-A,キャラクターモデリング,PTC-A0088,協力会社C,2Dアートチーム,2019-09,137.2
PJ-2019-A,クライアント実装,EMP-A0024,自社,第1開発部,2019-09,134.2
PJ-2019-A,クライアント実装,EMP-A0025,自社,第1開発部,2019-09,228.0
PJ-2019-A,クライアント実装,EMP-A0028,自社,第1開発部,2019-09,71.4
PJ-2019-A,クライアント実装,EMP-A0038,自社,第2開発部,2019-09,60.2
PJ-2019-A,クライアント実装,EMP-A0039,自社,第2開発部,2019-09,37.8
PJ-2019-A,クライアント実装,PTA-A0044,協力会社A,開発支援チーム,2019-09,157.7
PJ-2019-A,ゲームバランス調整,EMP-A0009,自社,ゲームデザイン部,2019-09,40.8
PJ-2019-A,ゲームバランス調整,EMP-A0011,自社,ゲームデザイン部,2019-09,66.0
PJ-2019-A,ゲームバランス調整,EMP-A0019,自社,ゲームデザイン部,2019-09,264.0
PJ-2019-A,サーバ実装,EMP-A0024,自社,第1開発部,2019-09,153.1
PJ-2019-A,サーバ実装,EMP-A0035,自社,第1開発部,2019-09,59.9
